,0,1,2,3,4,5,6,7,8,9
55,51.0,67.0,77.0,90.0,97.0,107.0,118.0,129.0,138.0,148.0
56,51.0,67.0,77.0,90.0,98.0,108.0,118.0,130.0,139.0,148.0
57,51.0,67.0,78.0,90.0,98.0,108.0,118.0,130.0,139.0,148.0
58,51.0,67.0,78.0,91.0,98.0,108.0,119.0,130.0,139.0,149.0
59,52.0,68.0,78.0,91.0,99.0,109.0,119.0,131.0,139.0,149.0
60,52.0,68.0,79.0,91.0,99.0,109.0,120.0,131.0,140.0,149.0
61,52.0,68.0,79.0,92.0,99.0,110.0,120.0,131.0,140.0,149.0
62,52.0,68.0,80.0,92.0,99.0,110.0,120.0,131.0,140.0,150.0
63,52.0,69.0,81.0,92.0,100.0,110.0,121.0,132.0,141.0,150.0
64,52.0,69.0,81.0,93.0,100.0,111.0,121.0,132.0,141.0,150.0
65,52.0,69.0,81.0,94.0,100.0,111.0,121.0,132.0,141.0,151.0
66,52.0,69.0,81.0,94.0,101.0,112.0,122.0,133.0,142.0,151.0
67,52.0,69.0,82.0,94.0,101.0,112.0,122.0,133.0,142.0,152.0
68,53.0,69.0,82.0,95.0,102.0,112.0,123.0,134.0,143.0,152.0
69,53.0,70.0,83.0,95.0,102.0,113.0,123.0,134.0,143.0,152.0
70,53.0,70.0,83.0,96.0,103.0,113.0,124.0,134.0,144.0,153.0
71,53.0,70.0,83.0,96.0,103.0,114.0,124.0,135.0,144.0,153.0
72,53.0,70.0,83.0,97.0,103.0,114.0,124.0,135.0,145.0,154.0
73,53.0,71.0,84.0,97.0,104.0,115.0,124.0,136.0,145.0,154.0
74,54.0,71.0,84.0,97.0,104.0,115.0,125.0,136.0,146.0,155.0
75,54.0,71.0,85.0,98.0,105.0,116.0,125.0,137.0,146.0,155.0
76,54.0,72.0,85.0,98.0,106.0,116.0,125.0,137.0,147.0,155.0
77,54.0,72.0,86.0,99.0,106.0,116.0,126.0,138.0,147.0,156.0
78,54.0,72.0,86.0,99.0,107.0,116.0,126.0,138.0,147.0,156.0
79,54.0,72.0,86.0,100.0,107.0,117.0,127.0,139.0,148.0,157.0
80,55.0,73.0,87.0,100.0,108.0,117.0,127.0,139.0,148.0,157.0
81,55.0,73.0,87.0,101.0,109.0,118.0,128.0,140.0,149.0,157.0
82,55.0,74.0,88.0,101.0,109.0,118.0,129.0,141.0,149.0,158.0
83,55.0,74.0,88.0,102.0,109.0,119.0,129.0,141.0,150.0,159.0
84,55.0,74.0,89.0,102.0,110.0,120.0,130.0,142.0,151.0,159.0
85,56.0,74.0,89.0,103.0,111.0,121.0,131.0,143.0,152.0,160.0
86,56.0,75.0,89.0,104.0,112.0,122.0,131.0,144.0,152.0,160.0
87,56.0,75.0,90.0,105.0,113.0,123.0,132.0,144.0,153.0,161.0
88,56.0,76.0,90.0,106.0,114.0,124.0,133.0,146.0,155.0,162.0
89,57.0,76.0,91.0,106.0,114.0,124.0,135.0,147.0,156.0,163.0
90,57.0,76.0,92.0,108.0,116.0,125.0,136.0,147.0,158.0,163.0
91,57.0,77.0,92.0,109.0,117.0,126.0,137.0,148.0,159.0,164.0
92,57.0,78.0,93.0,110.0,117.0,128.0,138.0,149.0,160.0,165.0
93,58.0,78.0,94.0,111.0,119.0,129.0,139.0,151.0,161.0,166.0
94,58.0,78.0,95.0,112.0,121.0,130.0,140.0,153.0,162.0,168.0
95,59.0,79.0,96.0,113.0,123.0,133.0,143.0,154.0,164.0,169.0
96,59.0,80.0,97.0,114.0,125.0,134.0,145.0,156.0,166.0,171.0
97,60.0,81.0,99.0,116.0,126.0,136.0,148.0,158.0,168.0,173.0
98,61.0,83.0,101.0,117.0,129.0,139.0,150.0,160.0,170.0,175.0
99,62.0,84.0,102.0,119.0,132.0,143.0,156.0,164.0,173.0,178.0
100,63.0,87.0,105.0,122.0,136.0,149.0,164.0,172.0,182.0,183.0
